,content,replyCount,retweetCount,likeCount,quoteCount,year,month,day
68,"Uns als #CDU ist das Thema #Wald sehr wichtig: 2020 haben wir die Aktion #unserwald für den deutschen Wald gestartet. In diesem Jahr werden wir sie fortführen! Unterstützen Sie mit Ihrer Spende unser Engagement für den deutschen Wald.

🌳 Mehr Infos: https://t.co/QNCDMDP4PW https://t.co/OMuMc2NrYP",26,9,20,1,2021,2,24
69,"🌳🌲 Jetzt erst recht: Dem Morgen starke Wurzeln geben. Ministerin @JuliaKloeckner stellt zum #Waldschadensbericht fest: Dürre, Stürme &amp; Schädlingen haben dem #Wald zugesetzt. Wir wollen klimagerecht wieder aufforsten. 

👉🏼 https://t.co/SbsmhopnYw https://t.co/UKw00nVtG9",36,10,42,3,2021,2,24
70,"Nicht nur Konrad Adenauer war begnadeter Wahlkämpfer 😎. 
Ob von Tür-zu-Tür oder mit der Webcam auf dem Wochenmarkt - unser #Wahlkampf @cdurlp @CDU_BW ist innovativ, dynamisch &amp; vor allem eins: digital 🤳🏽 Mach mit &amp; lade jetzt die @connectcdu-App herunter! 
#teamCDU #connect👇 https://t.co/FuvOncknlr",12,9,31,5,2021,2,24
71,"Damit 🇩🇪 gut durch und aus der Krise kommt und wettbewerbsfähig bleibt, müssen wir unsere Zukunft in allen Bereichen nachhaltig gestalten! 🌱
Die @cducsubt lädt dazu heute Abend um 19 Uhr zu einem spannenden Zukunftstalk ein. Nicht verpassen! @rbrinkhaus @NadineSchoen @tj_tweets https://t.co/iqDhVX8125",24,7,37,2,2021,2,24
72,"Klare Worte der #Wehrbeauftragten: In der heutigen PK zu ihrem #Jahresbericht sieht sie bewaffnete #Drohnen als „absolut erforderlich“. Liebe @SPD, hört auf den Rat eurer Expertin. Unsere Soldatinnen und Soldaten verdienen den bestmöglichen Schutz.  
👉🏼 https://t.co/GnXLwVNf9w https://t.co/yGqro5xsOc",55,29,165,6,2021,2,23
73,Einschalten 👇 https://t.co/ItWXy5ZoUc,13,3,12,0,2021,2,23
74,"Bundeskanzlerin #Merkel &amp; Ministerin @AnjaKarliczek haben die neue „Initiative digitale Bildung“ gestartet. Menschen aller Altersgruppen &amp; jeder Vorbildung sollen die Möglichkeit haben, sich digital weiterzubilden. Wie genau, das können Sie hier nachlesen: https://t.co/0ohwGL49di https://t.co/Vp2GTJurhi",58,9,59,5,2021,2,23
75,"✡️ Jüdisches Leben gehört zu 🇩🇪! Nachweislich seit 1700 Jahren leben Juden auf d. Gebiet des heutigen 🇩🇪. Aus diesem Anlass sprach unser Vorsitzender Ministerpräsident @ArminLaschet beim Festakt #2021JLID. Wir freuen uns auf ein ereignisreiches Festjahr! 

https://t.co/UhPuW5fOBh https://t.co/XVuQDV9qar",18,15,113,1,2021,2,22
76,"Ab 17 Uhr diskutiert Prof. Dr. Dieter @SWPBerlin im #Twitter-#Livestream darüber, welche Regeln der #Freihandel braucht. Heute ausnahmsweise zu den Kollegen der @KASonline wechseln 😃 https://t.co/RH6vrdewXO",4,4,11,0,2021,2,22
77,"#Corona eignet sich nicht für parteipolitische Auseinandersetzungen. Klare Worte von @PaulZiemiak in der heutigen Pressekonferenz nach den #CDU-Gremien: 

👉🏼 https://t.co/oavidfgLa8 https://t.co/kIG2Ak25xu",28,5,36,4,2021,2,22
78,https://t.co/vmflHegJud,9,3,18,0,2021,2,22
79,Die Woche startet mit den digitalen Sitzungen unseres Präsidiums und Bundesvorstandes. Worum es heute in den Beratungen ging? Das erfahren Sie ab 13:00 Uhr in der digitalen Pressekonferenz mit unserem Generalsekretär @PaulZiemiak. Einschalten  👉🏼 https://t.co/Ko9ZHJ5Z4P https://t.co/Vac9Q4ALM5,13,6,23,3,2021,2,22
80,"Ein starkes Land braucht ein starkes #TeamCDU! Wir unterstützen unsere Freunde der @CDU_BW, deshalb bei der Landtagswahl am 14. März: CDU wählen! 🗳✅ #ltwbw21 https://t.co/lUTBM0cWhi",43,4,37,3,2021,2,22
81,"Echt ärgerlich, wir haben uns gleich mehrfach verschrieben. Und das – ja,ja –  am Tag der Muttersprache. 😳🤦

Danke für die Hinweise. Wir haben die fehlerhafte Kachel gelöscht.",74,9,168,16,2021,2,21
82,"Mit einem starken #TeamCDU wollen wir die 20er Jahre zu einem Modernisierungsjahrzent machen &amp; die Defizite aus der Krise abbauen. Das betont @ArminLaschet im SWR-Interview der Woche. Denn es geht um die Zukunft unseres Landes. #wegenmorgen  
Hörtipp: https://t.co/NeQc2n3knJ",117,17,89,10,2021,2,21
83,"Wir müssen eine neue Existenzgründungswelle lostreten sagt #CDU-Chef @ArminLaschet im Interview mit dem Magazin der @MIT_bund. Weitere Maßnahmen, damit die Wirtschaft schnell und stark aus der Krise rauskommt, gibt es hier zum Nachlesen 👉🏼 https://t.co/63SfWBK7d8 https://t.co/rOtgQSQkDl",125,17,94,14,2021,2,20
84,"Auch in Thüringen geht es in diesem Superwahljahr um viel. @ArminLaschet war deshalb gestern zu Gast beim LaVo der @cdu_thueringen. Wir wollen gemeinsam gewinnen, weil wir überzeugt sind, dass es gut ist, wenn Christdemokraten regieren! #wegenmorgen #teamcdu https://t.co/uB7RjZCyjp",15,9,50,1,2021,2,20
85,"#wirmachendas - ""Gerade dann, wenn viel auf dem Spiel steht, kommt's drauf an, zusammenzuhalten"" - Mit diesen Worten leitet #CDU-Spitzenkandidat @ChBaldauf in den Wahlkampf-Spot der @cdurlp ein. 📺 Bei der Landtagswahl am 14. März: CDU wählen! 🗳✅ https://t.co/0u95Ch3tUP",44,18,93,4,2021,2,20
86,".@ArminLaschet ist heute zu Gast beim LaVo der @CDU_Brandenburg. Als starke Kraft der Mitte übernimmt sie in der Landesregierung Verantwortung in schwierigen Zeiten. Das Ergebnis: weniger Bürokratie in der Justiz, mehr Polizei und schnelleres Bauen. #wegenmorgen #teamcdu https://t.co/xmOQ7Jx7Xn",10,9,66,0,2021,2,19
